0	387	420	0	0	0	0	0	0
1	404	775	46	71	1164	1	2	2
2	725	750	12	153	968	2	2	1
3	504	815	20	293	1098	1	2	1
4	310	896	20	246	904	1	2	1
5	620	888	1	71	916	1	1	1
6	817	1024	39	0	1079	2	1	2
7	502	361	34	343	1127	3	2	2
8	842	1034	47	368	1155	2	1	2
9	736	829	3	279	889	2	2	1
10	712	693	39	53	1188	2	1	2
11	197	263	31	379	1024	3	2	2
12	746	782	9	305	1158	2	2	1
13	147	312	8	351	1069	3	2	1
14	255	163	2	395	995	3	1	1
15	207	1139	32	169	1129	1	1	2
16	886	1061	38	258	841	2	2	2
17	340	594	30	63	1120	3	2	2
18	477	201	35	115	1137	0	2	2
19	618	967	17	151	1043	0	2	1
20	537	402	15	312	1087	0	2	1
21	20	286	22	84	849	0	2	1
22	621	138	8	180	1120	0	2	1
23	829	460	14	189	1122	0	1	1
24	267	173	19	181	853	0	2	1
25	151	873	10	157	1181	0	2	1
26	229	671	9	16	963	0	1	1
27	320	170	30	205	899	0	1	2
28	918	465	25	114	830	0	1	2
29	529	882	31	300	1032	0	1	2
30	933	42	15	52	1156	0	2	1
31	247	426	1	146	803	0	1	1
32	530	194	22	192	983	0	2	1
33	502	875	23	32	1150	0	1	1
34	370	771	1	98	823	0	2	1
35	348	103	48	138	845	0	2	2
