0	170	387	226	131	267	282	299	328	329	103	175	239	372	320	292	290	444	285	339	499	149	278	301	178	240	162	180	113	234	377	189	
170	0	373	141	218	98	251	380	164	159	218	5	69	229	150	161	403	343	220	441	428	33	109	249	50	273	7	256	139	139	398	309	
387	373	0	235	268	421	121	209	366	430	302	373	393	304	419	272	286	209	163	273	167	396	424	129	423	155	373	230	465	242	80	291	
226	141	235	0	182	189	114	292	163	212	203	140	159	161	200	81	339	220	77	363	291	169	193	108	192	170	143	193	259	12	271	268	
131	218	268	182	0	313	182	173	333	361	33	222	280	343	350	263	184	369	208	224	401	218	322	210	253	114	213	49	235	194	247	92	
267	98	421	189	313	0	303	464	105	66	315	93	32	195	60	160	495	339	257	529	439	118	11	291	97	348	106	346	211	179	460	404	
282	251	121	114	182	303	0	213	261	320	215	251	274	222	308	167	278	194	56	287	220	274	307	34	301	98	251	162	348	123	159	239	
299	380	209	292	173	464	213	0	455	501	195	383	431	433	489	367	77	394	267	74	376	386	472	246	420	122	376	126	408	304	141	124	
328	164	366	163	333	105	261	455	0	71	346	159	107	93	63	94	502	244	206	527	351	196	99	239	189	333	172	353	300	151	420	424	
329	159	430	212	361	66	320	501	71	0	368	153	89	162	11	158	539	316	268	569	423	182	55	301	163	381	167	389	277	200	479	453	
103	218	302	203	33	315	215	195	346	368	0	222	283	364	357	283	193	400	237	238	435	212	325	242	246	148	212	78	214	215	279	93	
175	5	373	140	222	93	251	383	159	153	222	0	64	224	144	158	407	340	218	444	426	38	104	249	50	275	13	260	144	137	399	313	
239	69	393	159	280	32	274	431	107	89	283	64	0	189	80	141	462	324	231	496	421	94	42	264	81	316	76	313	194	151	430	371	
372	229	304	161	343	195	222	433	93	162	364	224	189	0	156	81	490	153	165	507	263	263	191	192	265	311	236	351	369	149	370	428	
320	150	419	200	350	60	308	489	63	11	357	144	80	156	0	147	527	307	257	557	414	174	50	290	157	368	157	378	271	188	468	442	
292	161	272	81	263	160	167	367	94	158	283	158	141	81	147	0	419	184	112	440	279	195	160	144	205	244	167	275	299	69	325	350	
290	403	286	339	184	495	278	77	502	539	193	407	462	490	527	419	0	465	328	52	452	403	504	312	437	180	398	149	404	352	218	101	
444	343	209	220	369	339	194	394	244	316	400	340	324	153	307	184	465	0	162	466	111	376	336	161	389	291	348	356	475	215	287	433	
285	220	163	77	208	257	56	267	206	268	237	218	231	165	257	112	328	162	0	342	217	247	261	33	269	148	222	200	334	81	213	279	
339	441	273	363	224	529	287	74	527	569	238	444	496	507	557	440	52	466	342	0	441	443	537	321	477	195	436	183	451	376	198	150	
499	428	167	291	401	439	220	376	351	423	435	426	421	263	414	279	452	111	217	441	0	459	438	198	477	300	432	375	550	290	244	446	
149	33	396	169	218	118	274	386	196	182	212	38	94	263	174	195	403	376	247	443	459	0	129	276	34	285	28	260	105	168	415	305	
278	109	424	193	322	11	307	472	99	55	325	104	42	191	50	160	504	336	261	537	438	129	0	294	108	356	116	355	222	184	465	414	
301	249	129	108	210	291	34	246	239	301	242	249	264	192	290	144	312	161	33	321	198	276	294	0	300	133	251	195	358	113	180	273	
178	50	423	192	253	97	301	420	189	163	246	50	81	265	157	205	437	389	269	477	477	34	108	300	0	318	49	295	113	189	446	340	
240	273	155	170	114	348	98	122	333	381	148	275	316	311	368	244	180	291	148	195	300	285	356	133	318	0	270	75	331	182	137	145	
162	7	373	143	213	106	251	376	172	167	212	13	76	236	157	167	398	348	222	436	432	28	116	251	49	270	0	252	132	141	397	303	
180	256	230	193	49	346	162	126	353	389	78	260	313	351	378	275	149	356	200	183	375	260	355	195	295	75	252	0	283	206	201	78	
113	139	465	259	235	211	348	408	300	277	214	144	194	369	271	299	404	475	334	451	550	105	222	358	113	331	132	283	0	261	469	302	
234	139	242	12	194	179	123	304	151	200	215	137	151	149	188	69	352	215	81	376	290	168	184	113	189	182	141	206	261	0	281	281	
377	398	80	271	247	460	159	141	420	479	279	399	430	370	468	325	218	287	213	198	244	415	465	180	446	137	397	201	469	281	0	245	
189	309	291	268	92	404	239	124	424	453	93	313	371	428	442	350	101	433	279	150	446	305	414	273	340	145	303	78	302	281	245	0	
