0	218	290	253	296	321	456	79	470	330	261	151	313	161	177	456	500	110	145	365	92	240	225	272	168	314	182	158	327	297	408	86	164	288	216	196	
218	0	197	65	94	149	296	261	312	206	195	339	210	325	387	254	344	117	355	176	243	382	413	325	379	166	125	375	369	100	556	235	365	86	20	415	
290	197	0	141	270	106	177	275	189	48	35	442	23	446	462	398	215	255	370	148	243	519	381	189	453	361	309	435	211	145	453	355	362	157	218	460	
253	65	141	0	129	84	231	279	247	142	148	388	150	379	429	270	279	169	378	116	254	441	423	296	421	219	190	412	333	43	544	286	382	36	86	448	
296	94	270	129	0	190	321	349	338	265	277	395	277	373	452	161	368	186	439	194	334	415	504	416	445	98	147	447	458	134	650	291	452	118	84	488	
321	149	106	84	190	0	147	332	163	80	132	464	100	458	499	297	195	250	431	48	303	522	461	293	490	288	275	479	318	56	555	365	430	72	169	511	
456	296	177	231	321	147	0	451	16	129	213	604	155	601	633	381	48	395	548	127	419	668	558	347	623	419	421	608	349	197	608	508	540	214	315	636	
79	261	275	279	349	332	451	0	464	322	241	197	299	220	194	512	491	174	99	379	32	299	155	209	184	381	254	161	263	320	330	161	104	316	264	184	
470	312	189	247	338	163	16	464	0	141	224	618	165	616	646	395	31	410	559	143	431	684	567	353	637	436	438	621	353	213	613	523	551	230	332	648	
330	206	48	142	265	80	129	322	141	0	84	480	29	482	505	377	169	283	418	111	290	552	431	233	496	360	326	479	250	131	499	389	410	146	227	506	
261	195	35	148	277	132	213	241	224	84	0	412	58	419	430	414	250	236	335	177	208	493	346	160	421	362	297	402	189	161	423	330	326	170	215	426	
151	339	442	388	395	464	604	197	618	480	412	0	464	43	70	539	649	221	176	504	225	109	272	407	70	376	251	94	460	432	472	104	209	420	330	135	
313	210	23	150	277	100	155	299	165	29	58	464	0	468	486	397	192	275	394	137	266	541	403	204	476	370	325	458	221	146	469	376	385	160	231	484	
161	325	446	379	373	458	601	220	616	482	419	43	468	0	113	510	647	209	214	496	246	79	310	429	112	345	226	137	483	422	511	92	246	409	314	177	
177	387	462	429	452	499	633	194	646	505	430	70	486	113	0	601	675	270	138	543	227	163	225	397	9	441	312	40	448	473	423	161	169	463	380	67	
456	254	398	270	161	297	381	512	395	377	414	539	397	510	601	0	420	344	600	274	496	537	666	566	595	166	288	600	602	253	809	439	614	243	247	643	
500	344	215	279	368	195	48	491	31	169	250	649	192	647	675	420	0	442	586	174	458	715	591	371	666	466	470	649	366	245	628	554	576	262	363	676	
110	117	255	169	186	250	395	174	410	283	236	221	275	209	270	344	442	0	256	286	169	273	329	312	262	206	83	261	364	211	498	118	272	199	110	302	
145	355	370	378	439	431	548	99	559	418	335	176	394	214	138	600	586	256	0	479	128	285	96	269	129	459	326	98	315	419	296	197	32	415	356	99	
365	176	148	116	194	48	127	379	143	111	177	504	137	496	543	274	174	286	479	0	350	557	510	338	534	293	300	523	359	75	601	403	478	91	194	557	
92	243	243	254	334	303	419	32	431	290	208	225	266	246	227	496	458	169	128	350	0	325	170	182	217	374	251	195	237	295	329	178	128	291	249	217	
240	382	519	441	415	522	668	299	684	552	493	109	541	79	163	537	715	273	285	557	325	0	380	509	166	370	269	197	563	482	581	163	318	468	368	230	
225	413	381	423	504	461	558	155	567	431	346	272	403	310	225	666	591	329	96	510	170	380	0	235	218	536	407	185	271	461	200	290	65	459	418	169	
272	325	189	296	416	293	347	209	353	233	160	407	204	429	397	566	371	312	269	338	182	509	235	0	388	488	391	360	54	318	264	358	246	325	341	368	
168	379	453	421	445	490	623	184	637	496	421	70	476	112	9	595	666	262	129	534	217	166	218	388	0	436	307	32	439	464	417	155	161	455	373	65	
314	166	361	219	98	288	419	381	436	360	362	376	370	345	441	166	466	206	459	293	374	370	536	488	436	0	133	445	534	232	702	281	478	216	148	488	
182	125	309	190	147	275	421	254	438	326	297	251	325	226	312	288	470	83	326	300	251	269	407	391	307	133	0	313	442	225	581	150	347	209	105	357	
158	375	435	412	447	479	608	161	621	479	402	94	458	137	40	600	649	261	98	523	195	197	185	360	32	445	313	0	410	456	385	163	129	448	371	44	
327	369	211	333	458	318	349	263	353	250	189	460	221	483	448	602	366	364	315	359	237	563	271	54	439	534	442	410	0	350	260	413	291	359	386	415	
297	100	145	43	134	56	197	320	213	131	161	432	146	422	473	253	245	211	419	75	295	482	461	318	464	232	225	456	350	0	573	330	423	16	118	491	
408	556	453	544	650	555	608	330	613	499	423	472	469	511	423	809	628	498	296	601	329	581	200	264	417	702	581	385	260	573	0	483	264	576	567	362	
86	235	355	286	291	365	508	161	523	389	330	104	376	92	161	439	554	118	197	403	178	163	290	358	155	281	150	163	413	330	483	0	224	317	225	208	
164	365	362	382	452	430	540	104	551	410	326	209	385	246	169	614	576	272	32	478	128	318	65	246	161	478	347	129	291	423	264	224	0	419	368	125	
288	86	157	36	118	72	214	316	230	146	170	420	160	409	463	243	262	199	415	91	291	468	459	325	455	216	209	448	359	16	576	317	419	0	103	484	
216	20	218	86	84	169	315	264	332	227	215	330	231	314	380	247	363	110	356	194	249	368	418	341	373	148	105	371	386	118	567	225	368	103	0	411	
196	415	460	448	488	511	636	184	648	506	426	135	484	177	67	643	676	302	99	557	217	230	169	368	65	488	357	44	415	491	362	208	125	484	411	0	
