0	839	910	0	0	0	0	0	0
1	914	642	6	135	974	3	2	1
2	75	702	6	208	1085	1	2	1
3	858	321	39	269	1035	3	1	2
4	-17	822	8	38	804	2	1	1
5	329	546	44	294	983	4	1	2
6	-12	762	27	392	961	1	2	2
7	933	886	31	21	820	3	2	2
8	810	726	35	108	1110	3	1	2
9	924	471	21	35	1140	3	1	1
10	754	637	24	247	1076	3	1	1
11	-102	685	4	227	1178	1	1	1
12	727	554	24	149	967	3	1	1
13	50	437	27	286	1189	4	2	2
14	825	434	49	389	1037	3	2	2
15	86	807	10	356	911	1	1	1
16	347	514	37	33	994	4	2	2
17	43	768	21	389	1099	1	2	1
18	126	605	9	258	1102	4	1	1
19	212	673	43	238	853	2	2	2
20	193	839	26	117	1129	2	2	2
21	-74	1145	10	93	914	1	2	1
22	-27	708	12	92	1076	2	2	1
23	183	886	7	102	1097	2	1	1
24	279	873	14	8	987	1	1	1
25	74	562	21	219	946	0	1	1
26	186	805	4	308	927	0	1	1
27	600	931	12	14	1084	0	1	1
28	903	95	42	91	1141	0	1	2
29	727	948	5	184	1108	0	2	1
30	357	98	40	27	1167	0	2	2
31	377	341	3	397	1185	0	2	1
32	969	47	16	287	1164	0	1	1
33	187	52	29	89	1078	0	2	2
34	88	428	39	69	945	0	1	2
35	509	621	15	317	1011	0	1	1
36	349	343	8	302	1047	0	1	1
37	540	648	28	120	900	0	1	2
38	582	201	21	367	899	0	2	1
39	181	28	9	363	1064	0	1	1
40	19	55	45	76	1144	0	1	2
41	412	612	17	205	880	0	1	1
42	538	405	34	210	1189	0	2	2
43	751	97	47	114	848	0	1	2
44	348	784	31	307	824	0	2	2
45	209	714	33	210	1180	0	1	2
46	663	579	18	232	893	0	1	1
47	157	813	47	135	1105	0	1	2
48	980	67	48	27	1045	0	1	2
49	581	751	49	393	1191	0	1	2
50	188	458	32	308	802	0	1	2
