0	702	195	0	0	0	0	0	0
1	370	175	14	284	914	2	2	1
2	429	902	17	357	925	3	1	1
3	341	451	48	65	1097	1	2	2
4	697	451	30	366	883	1	1	2
5	186	116	4	316	1000	2	1	1
6	411	664	26	72	1127	3	1	2
7	815	769	32	384	1005	3	2	2
8	67	285	39	157	1000	2	1	2
9	60	146	27	138	1095	2	2	2
10	735	396	37	29	1126	3	2	2
11	359	176	42	244	1041	2	2	2
12	235	158	13	5	1178	2	2	1
13	26	463	48	353	964	1	1	2
14	77	162	10	15	1168	2	2	1
15	182	430	14	9	930	2	2	1
16	953	705	2	155	945	0	2	1
17	45	763	16	121	804	0	2	1
18	319	602	18	203	1083	0	2	1
19	955	807	40	399	1161	0	1	2
20	109	971	18	81	1043	0	1	1
21	417	128	22	124	1193	0	1	1
22	164	116	47	215	1177	0	2	2
23	344	663	25	116	923	0	1	2
24	373	77	10	8	989	0	2	1
25	604	654	15	301	1112	0	2	1
26	385	173	4	43	1093	0	2	1
27	707	547	28	29	1179	0	1	2
28	584	6	16	2	938	0	2	1
29	317	442	27	393	1153	0	1	2
30	585	922	31	321	981	0	1	2
31	860	529	9	298	804	0	1	1
