0	166	113	239	165	115	103	167	81	203	140	67	272	162	242	162	362	84	139	317	329	500	58	67	381	231	417	443	248	359	278	176	83	131	199	338	463	426	
166	0	79	382	216	52	214	322	204	278	172	222	318	155	217	33	419	249	150	173	271	357	146	200	294	76	258	326	268	250	208	146	89	107	36	325	351	294	
113	79	0	304	138	61	135	249	128	199	95	154	245	87	164	58	345	186	75	204	238	386	73	126	279	123	306	333	200	249	179	88	74	36	116	271	354	313	
239	382	304	0	208	341	169	78	177	165	237	171	219	274	306	363	245	167	259	480	388	636	235	183	461	422	590	550	251	469	372	296	317	291	418	335	558	555	
165	216	138	208	0	197	78	185	97	62	43	142	111	71	103	187	209	178	66	273	193	427	112	110	262	231	384	345	83	262	165	91	194	108	250	176	356	347	
115	52	61	341	197	0	178	277	164	255	155	175	306	149	223	62	406	199	136	221	292	406	106	158	325	126	310	367	262	287	231	148	36	97	83	332	391	339	
103	214	135	169	78	178	0	122	22	100	80	64	172	117	178	194	259	99	97	317	268	485	71	37	334	253	426	411	159	327	233	139	161	123	250	254	425	406	
167	322	249	78	185	277	122	0	121	165	201	101	236	238	289	307	288	90	219	439	378	607	175	121	448	372	548	530	250	446	350	261	249	243	357	343	542	528	
81	204	128	177	97	164	22	121	0	123	91	45	195	126	193	187	281	82	104	320	284	492	58	14	347	250	427	421	180	336	244	147	144	122	241	274	437	414	
203	278	199	165	62	255	100	165	123	0	105	160	76	133	142	250	159	189	129	331	222	474	159	137	296	294	441	385	87	307	209	152	248	171	313	178	393	394	
140	172	95	237	43	155	80	201	91	105	0	136	151	37	104	143	250	173	23	242	194	406	82	101	255	191	352	331	112	246	153	59	155	64	207	198	345	327	
67	222	154	171	142	175	64	101	45	160	136	0	235	169	238	211	315	37	146	355	329	531	80	34	391	278	460	464	224	378	288	188	148	157	257	319	480	453	
272	318	245	219	111	306	172	236	195	76	151	235	0	163	130	286	100	265	170	331	184	450	223	210	258	317	437	353	58	283	193	175	306	211	350	116	355	372	
162	155	87	274	71	149	117	238	126	133	37	169	163	0	81	123	264	206	23	205	166	368	104	134	222	160	315	295	113	209	119	21	158	50	187	185	311	289	
242	217	164	306	103	223	178	289	193	142	104	238	130	81	0	183	222	276	103	201	90	331	183	204	157	196	308	243	72	164	67	75	237	128	243	108	253	251	
162	33	58	363	187	62	194	307	187	250	143	211	286	123	183	0	387	241	120	159	239	343	131	186	265	68	254	304	235	225	176	113	96	78	63	291	328	276	
362	419	345	245	209	406	259	288	281	159	250	315	100	264	222	387	0	339	270	421	251	517	317	296	320	415	522	415	154	358	278	275	403	312	451	162	410	443	
84	249	186	167	178	199	99	90	82	189	173	37	265	206	276	241	339	0	183	389	366	566	114	72	428	309	493	500	258	415	326	226	168	192	282	354	517	490	
139	150	75	259	66	136	97	219	104	129	23	146	170	23	103	120	270	183	0	221	189	388	80	111	246	167	331	317	125	232	142	42	141	42	184	204	333	310	
317	173	204	480	273	221	317	439	320	331	242	355	331	205	201	159	421	389	221	0	188	184	274	323	165	97	110	160	273	106	142	183	256	197	166	275	188	121	
329	271	238	388	193	292	268	378	284	222	194	329	184	166	90	239	251	366	189	188	0	267	270	295	74	226	277	169	137	106	62	153	312	205	289	91	171	191	
500	357	386	636	427	406	485	607	492	474	406	531	450	368	331	343	517	566	388	184	267	0	453	498	197	280	126	104	397	167	264	346	441	374	344	355	120	79	
58	146	73	235	112	106	71	175	58	159	82	80	223	104	183	131	317	114	80	274	270	453	0	54	325	197	378	390	192	305	221	119	90	78	183	280	409	376	
67	200	126	183	110	158	37	121	14	137	101	34	210	134	204	186	296	72	111	323	295	498	54	0	356	250	430	429	194	343	253	154	135	125	236	288	445	420	
381	294	279	461	262	325	334	448	347	296	255	391	258	222	157	265	320	428	246	165	74	197	325	356	0	233	228	94	211	59	103	205	351	251	303	157	96	126	
231	76	123	422	231	126	253	372	250	294	191	278	317	160	196	68	415	309	167	97	226	280	197	250	233	0	185	252	260	182	165	143	162	131	72	296	279	218	
417	258	306	590	384	310	426	548	427	441	352	460	437	315	308	254	522	493	331	110	277	126	378	430	228	185	0	171	380	172	244	294	346	304	237	368	201	117	
443	326	333	550	345	367	411	530	421	385	331	464	353	295	243	304	415	500	317	160	169	104	390	429	94	252	171	0	304	85	179	274	398	312	324	252	30	54	
248	268	200	251	83	262	159	250	180	87	112	224	58	113	72	235	154	258	125	273	137	397	192	194	211	260	380	304	0	230	137	122	267	164	298	95	309	318	
359	250	249	469	262	287	327	446	336	307	246	378	283	209	164	225	358	415	232	106	106	167	305	343	59	182	172	85	230	0	97	189	317	227	254	198	105	88	
278	208	179	372	165	231	233	350	244	209	153	288	193	119	67	176	278	326	142	142	62	264	221	253	103	165	244	179	137	97	0	101	253	149	226	135	192	184	
176	146	88	296	91	148	139	261	147	152	59	188	175	21	75	113	275	226	42	183	153	346	119	154	205	143	294	274	122	189	101	0	162	53	176	183	291	267	
83	89	74	317	194	36	161	249	144	248	155	148	306	158	237	96	403	168	141	256	312	441	90	135	351	162	346	398	267	317	253	162	0	109	117	344	421	373	
131	107	36	291	108	97	123	243	122	171	64	157	211	50	128	78	312	192	42	197	205	374	78	125	251	131	304	312	164	227	149	53	109	0	142	235	332	297	
199	36	116	418	250	83	250	357	241	313	207	257	350	187	243	63	451	282	184	166	289	344	183	236	303	72	237	324	298	254	226	176	117	142	0	349	351	287	
338	325	271	335	176	332	254	343	274	178	198	319	116	185	108	291	162	354	204	275	91	355	280	288	157	296	368	252	95	198	135	183	344	235	349	0	249	281	
463	351	354	558	356	391	425	542	437	393	345	480	355	311	253	328	410	517	333	188	171	120	409	445	96	279	201	30	309	105	192	291	421	332	351	249	0	83	
426	294	313	555	347	339	406	528	414	394	327	453	372	289	251	276	443	490	310	121	191	79	376	420	126	218	117	54	318	88	184	267	373	297	287	281	83	0
