0	380	410	309	403	425	304	367	500	331	408	430	314	314	117	171	216	220	131	299	114	277	103	108	358	354	400	347	
380	0	32	248	377	381	199	421	241	253	44	160	137	377	262	234	209	400	445	436	370	151	464	327	452	31	324	119	
410	32	0	258	380	382	209	429	222	260	23	147	149	389	292	266	241	419	477	450	402	169	492	359	462	56	325	125	
309	248	258	0	139	151	49	171	210	22	239	170	111	131	235	283	300	190	429	198	375	110	340	334	204	219	104	133	
403	377	380	139	0	24	185	82	250	127	359	256	245	100	357	415	436	212	533	165	489	250	401	453	126	351	59	257	
425	381	382	151	24	0	195	103	237	136	360	252	252	124	376	431	451	236	554	188	510	260	426	473	146	356	57	262	
304	199	209	49	185	195	0	221	196	59	192	139	62	178	215	252	263	223	417	242	357	64	350	314	252	170	142	86	
367	421	429	171	82	103	221	0	327	169	410	321	284	56	344	412	441	154	498	89	465	277	347	434	43	391	134	304	
500	241	222	210	250	237	196	327	0	193	200	84	192	313	401	416	411	398	605	389	539	227	546	494	369	233	191	167	
331	253	260	22	127	136	59	169	193	0	241	160	118	135	256	302	318	205	452	206	397	123	361	356	205	225	85	135	
408	44	23	239	359	360	192	410	200	241	0	124	132	370	292	271	250	405	481	434	407	157	486	363	444	56	303	106	
430	160	147	170	256	252	139	321	84	160	124	0	116	294	324	334	327	359	529	367	460	152	486	415	361	149	197	85	
314	137	149	111	245	252	62	284	192	118	132	116	0	240	209	225	227	273	413	301	346	36	376	301	314	107	197	34	
314	377	389	131	100	124	178	56	313	135	370	294	240	0	288	356	386	111	446	75	410	229	303	378	74	347	131	264	
117	262	292	235	357	376	215	344	401	256	292	324	209	288	0	78	120	231	204	302	141	172	208	99	350	236	338	239	
171	234	266	283	415	431	252	412	416	302	271	334	225	356	78	0	44	308	210	377	136	194	273	93	422	215	387	248	
216	209	241	300	436	451	263	441	411	318	250	327	227	386	120	44	0	346	243	412	168	201	318	129	454	195	404	245	
220	400	419	190	212	236	223	154	398	205	405	359	273	111	231	308	346	0	351	78	328	248	193	304	137	368	235	305	
131	445	477	429	533	554	417	498	605	452	481	529	413	446	204	210	243	351	0	429	75	377	192	118	488	425	526	443	
299	436	450	198	165	188	242	89	389	206	434	367	301	75	302	377	412	78	429	0	406	284	264	380	61	405	205	329	
114	370	402	375	489	510	357	465	539	397	407	460	346	410	141	136	168	328	75	406	0	311	207	44	462	351	476	374	
277	151	169	110	250	260	64	277	227	123	157	152	36	229	172	194	201	248	377	284	311	0	340	266	304	120	207	70	
103	464	492	340	401	426	350	347	546	361	486	486	376	303	208	273	318	193	192	264	207	340	0	210	325	435	414	410	
108	327	359	334	453	473	314	434	494	356	363	415	301	378	99	93	129	304	118	380	44	266	210	0	434	306	436	329	
358	452	462	204	126	146	252	43	369	205	444	361	314	74	350	422	454	137	488	61	462	304	325	434	0	421	178	337	
354	31	56	219	351	356	170	391	233	225	56	149	107	347	236	215	195	368	425	405	351	120	435	306	421	0	299	94	
400	324	325	104	59	57	142	134	191	85	303	197	197	131	338	387	404	235	526	205	476	207	414	436	178	299	0	204	
347	119	125	133	257	262	86	304	167	135	106	85	34	264	239	248	245	305	443	329	374	70	410	329	337	94	204	0
