0	779	353	0	0	0	0	0	0
1	223	581	42	72	1033	4	2	2
2	1071	987	4	265	1042	3	2	1
3	1249	549	27	231	1185	3	1	2
4	944	797	24	268	1169	3	2	1
5	977	626	7	137	1085	3	1	1
6	703	406	17	64	862	2	2	1
7	1023	944	4	3	1008	3	1	1
8	974	898	49	70	816	3	1	2
9	84	723	22	342	995	4	1	1
10	91	588	19	179	842	4	2	1
11	201	783	13	68	862	4	2	1
12	966	877	22	45	1126	3	2	1
13	996	1001	48	19	952	3	2	2
14	813	594	47	70	1143	3	1	2
15	650	180	5	208	818	2	2	1
16	1125	783	49	146	1064	3	1	2
17	726	515	45	4	1155	1	2	2
18	65	665	11	45	875	4	2	1
19	1048	900	27	226	1049	3	1	2
20	647	100	1	215	930	2	1	1
21	1123	895	1	207	818	3	1	1
22	764	1047	14	222	1188	3	2	1
23	191	654	8	121	1182	0	1	1
24	709	792	40	223	1009	0	2	2
25	52	981	31	181	824	0	1	2
26	425	625	8	198	1006	0	2	1
27	204	721	14	93	1116	0	1	1
28	209	681	28	283	1008	0	1	2
29	394	334	17	229	1110	0	1	1
30	152	777	34	197	956	0	2	2
31	862	859	34	158	819	0	1	2
32	304	52	13	154	806	0	1	1
33	0	813	25	78	846	0	1	2
34	116	963	26	240	815	0	1	2
35	216	651	11	86	888	0	2	1
36	476	250	27	193	932	0	1	2
37	89	424	41	13	955	0	1	2
38	98	768	33	244	1062	0	1	2
39	660	457	37	369	928	0	2	2
40	601	906	11	42	1010	0	2	1
41	574	640	41	322	959	0	2	2
42	198	970	34	146	851	0	1	2
43	989	903	43	259	927	0	2	2
44	64	205	45	109	1197	0	2	2
45	456	755	1	277	1198	0	2	1
